,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TEST FILE,,CBS,,,,,ICR,,,,,ICTS,,,,,ICTS+ID,,,,,X*,,,,,,
,,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,Execution time (ms),Longest Path,SIC,Memory Usage,,,
,WH2_1_1/7.json,,Timeout 10m,Timeout 10m,Timeout 10m,114.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,115.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,130.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,130.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,124.9MB,,,
,WH2_1_1/8.json,,Timeout 10m,Timeout 10m,Timeout 10m,400.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,407.3MB,,Timeout 10m,Timeout 10m,Timeout 10m,109.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,77.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,224.1MB,,,
,WH2_1_1/9.json,,Timeout 10m,Timeout 10m,Timeout 10m,262.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,266.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,94.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,89.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,265.4MB,,,
,WH2_1_1/10.json,,Timeout 10m,Timeout 10m,Timeout 10m,149.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,148.7MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,152.6MB,,,
,WH2_1_1/11.json,,Timeout 10m,Timeout 10m,Timeout 10m,87.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,86.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,111.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,111.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,130.4MB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH2_1_2/0.json,,19.7374,18,30,0.0MB,,19.3754,18,30,0.0MB,,18.7635,18,30,0.0MB,,32.7868,18,30,0.0MB,,16.2041,18,30,0.0MB,,,
,WH2_1_2/1.json,,207.659,42,61,8.0MB,,236.082,42,61,8.0MB,,41.539,36,57,0.0MB,,71.2915,36,57,0.0MB,,208.232,42,61,8.0MB,,,
,WH2_1_2/2.json,,2974.55,64,119,8.9MB,,2990.93,64,119,8.8MB,,980.317,63,118,13.2MB,,1974.71,63,118,13.6MB,,3025.27,64,119,8.9MB,,,
,WH2_1_2/3.json,,73731.9,147,280,26.8MB,,75386.6,147,280,26.6MB,,6690.38,147,279,44.5MB,,13775.4,147,279,42.9MB,,75815.6,147,280,26.9MB,,,
,WH2_1_2/4.json,,Timeout 10m,Timeout 10m,Timeout 10m,786.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,782.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,71.7MB,,Timeout 10m,Timeout 10m,Timeout 10m,77.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,815.7MB,,,
,WH2_1_2/5.json,,Timeout 10m,Timeout 10m,Timeout 10m,240.6MB,,Timeout 10m,Timeout 10m,Timeout 10m,241.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,70.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,65.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,241.6MB,,,
,WH2_1_2/6.json,,Timeout 10m,Timeout 10m,Timeout 10m,219.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,221.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,70.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,70.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,235.7MB,,,
,WH2_1_2/7.json,,Timeout 10m,Timeout 10m,Timeout 10m,202.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,201.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,94.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,94.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,179.4MB,,,
,WH2_1_2/8.json,,Timeout 10m,Timeout 10m,Timeout 10m,347.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,346.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,99.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,172.2MB,,Timeout 10m,Timeout 10m,Timeout 10m,281.1MB,,,
,WH2_1_2/9.json,,Timeout 10m,Timeout 10m,Timeout 10m,471.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,473.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,117.9MB,,Timeout 10m,Timeout 10m,Timeout 10m,135.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,124.7MB,,,
,WH2_1_2/10.json,,Timeout 10m,Timeout 10m,Timeout 10m,95.4MB,,Timeout 10m,Timeout 10m,Timeout 10m,95.5MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,158.4MB,,,
,WH2_1_2/11.json,,Timeout 10m,Timeout 10m,Timeout 10m,197.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,198.0MB,,Timeout 10m,Timeout 10m,Timeout 10m,96.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,95.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,138.2MB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WH2_2/0.json,,0.336568,10,13,0.0MB,,0.308253,10,13,0.0MB,,5.70465,10,13,0.0MB,,0.493004,10,13,0.0MB,,0.242241,10,13,0.0MB,,,
,WH2_2/1.json,,78.8727,26,36,0.0MB,,21.5542,20,38,0.0MB,,107.668,26,36,8.4MB,,256.964,26,36,8.9MB,,77.8305,26,36,0.0MB,,,
,WH2_2/2.json,,1.7414,58,105,0.0MB,,1.82345,58,105,0.0MB,,133.391,58,105,8.0MB,,2.23915,58,105,0.0MB,,1.82388,58,105,0.0MB,,,
,WH2_2/3.json,,807.527,101,194,8.1MB,,Error,Error,Error,Error,,Solution is not valid,Solution is not valid,Solution is not valid,Solution is not valid,,Solution is not valid,Solution is not valid,Solution is not valid,Solution is not valid,,778.537,101,194,8.1MB,,,
,WH2_2/4.json,,0.430658,11,26,0.0MB,,0.783619,11,26,0.0MB,,7.36779,11,26,0.0MB,,0.757918,11,26,0.0MB,,0.441027,11,26,0.0MB,,,
,WH2_2/5.json,,17.7278,20,51,0.0MB,,Error,Error,Error,Error,,63.9439,20,51,0.0MB,,23.951,20,51,0.0MB,,23.1123,20,51,0.0MB,,,
,WH2_2/6.json,,Timeout 10m,Timeout 10m,Timeout 10m,99.0MB,,Error,Error,Error,Error,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,9.6MB,,,
,WH2_2/7.json,,200493,111,369,42.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,469.6MB,,14997.5,113,367,37.1MB,,25184,113,367,36.8MB,,220512,111,369,37.2MB,,,
,WH2_2/8.json,,7214,18,78,12.0MB,,7074.53,18,78,12.0MB,,9283.98,17,73,14.6MB,,5616.8,17,73,12.1MB,,9231.55,18,78,15.6MB,,,
,WH2_2/9.json,,26297.2,24,134,18.0MB,,Error,Error,Error,Error,,579694,23,134,99.7MB,,Timeout 10m,Timeout 10m,Timeout 10m,86.7MB,,23991.7,24,134,22.6MB,,,
,WH2_2/10.json,,Timeout 10m,Timeout 10m,Timeout 10m,86.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,86.6MB,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Segmentation Fault,Segmentation Fault,Segmentation Fault,Segmentation Fault,,Timeout 10m,Timeout 10m,Timeout 10m,94.6MB,,,
,WH2_2/11.json,,Timeout 10m,Timeout 10m,Timeout 10m,103.8MB,,Timeout 10m,Timeout 10m,Timeout 10m,104.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,146.1MB,,Timeout 10m,Timeout 10m,Timeout 10m,146.5MB,,Timeout 10m,Timeout 10m,Timeout 10m,107.4MB,,,
